Pond,Link,centriod,geometry,Area(sqm),Water_status
21,"https://www.google.com/maps?q=15.966552170667093,80.55882313848343","(15.966552170667093, 80.55882313848343)","POLYGON ((452778.03474834573 1765298.1484809085, 452778.03464617615 1765300.8005506392, 452781.2202723043 1765299.7365520243, 452784.98130836885 1765301.6115317186, 452802.7444875334 1765292.7300459158, 452810.9391445315 1765276.3588705761, 452795.231445048 1765268.497560622, 452768.06081337464 1765286.6075444922, 452768.1657619007 1765293.2285203245, 452778.03474834573 1765298.1484809085))",100.0,1
22,"https://www.google.com/maps?q=15.966639637013145,80.56161627774522","(15.966639637013145, 80.56161627774522)","POLYGON ((453056.89845674246 1765302.017480081, 453056.9984619053 1765302.2172772738, 453086.17309819104 1765306.3885806336, 453095.82132114 1765311.9646651081, 453121.9653987005 1765311.9654268655, 453121.9653986754 1765311.9647301033, 453123.73852205556 1765311.9647393553, 453131.31377665023 1765304.389484761, 453123.10928336094 1765287.9979836291, 453113.50690213474 1765287.803640724, 453113.3605914722 1765287.6573300604, 453084.49638403556 1765278.0353476992, 453065.0087776657 1765278.034922025, 453058.05858839035 1765278.034618005, 453058.05858960806 1765278.0347702103, 453048.0585878595 1765278.034551776, 453048.1851469495 1765293.8507681044, 453056.30058907834 1765302.0003130683, 453056.89845674246 1765302.017480081))",1900.0,1
23,"https://www.google.com/maps?q=15.966978267744128,80.56055407712257","(15.966978267744128, 80.56055407712257)","POLYGON ((452938.03448571963 1765341.9654813223, 452938.0344857188 1765342.424472537, 452993.9516821307 1765351.75157928, 453003.73850191996 1765341.9647594912, 453003.73850191996 1765341.9647594912, 453011.9647937114 1765333.7384676991, 453011.9653987037 1765318.0344857196, 452938.03448571917 1765318.0344857194, 452938.03448571934 1765318.0345186775, 452938.0344857187 1765318.0345241756, 452938.03448571893 1765341.96544875, 452938.03448571963 1765341.9654813223))",1500.0,1
24,"https://www.google.com/maps?q=15.96725945454193,80.56118664494117","(15.96725945454193, 80.56118664494117)","POLYGON ((453043.73846769973 1765401.964793712, 453052.13645719306 1765393.566804218, 453061.5060746123 1765328.0344857192, 453037.1964180306 1765328.0344857194, 453037.196371034 1765328.034626634, 453036.8850861043 1765328.0346282136, 453028.0353480204 1765345.725264301, 453028.03452938993 1765401.9653987025, 453043.73846769973 1765401.964793712))",1800.0,1
25,"https://www.google.com/maps?q=15.967669378780192,80.55891866535596","(15.967669378780192, 80.55891866535596)","POLYGON ((452821.96536953055 1765423.0886480922, 452821.9655028692 1765388.03454343, 452786.26150833274 1765388.035230256, 452778.4682378373 1765395.8285007523, 452778.0418623295 1765396.25487626, 452778.18847027456 1765423.8541053955, 452786.2674433978 1765431.9670281024, 452803.5775861571 1765431.9987383722, 452821.96536953055 1765423.0886480922))",800.0,1
26,"https://www.google.com/maps?q=15.94705038309117,80.57188298972012","(15.94705038309117, 80.57188298972012)","POLYGON ((454193.5033070197 1763098.6912802157, 454191.96543406055 1763099.204621779, 454191.9654341603 1763099.1994225283, 454168.03462940076 1763107.1923074687, 454168.03449713136 1763141.965398704, 454168.0345252654 1763141.9653987025, 454168.0344948462 1763151.9653987037, 454183.73846769927 1763151.9647937114, 454192.33594038297 1763143.3673210277, 454201.7565720738 1763114.5310472294, 454193.5033070197 1763098.6912802157))",0.0,0
27,"https://www.google.com/maps?q=14.308133644148423,80.10849630451654","(14.308133644148423, 80.10849630451654)","POLYGON ((403855.0335489089 1582024.9798915577, 403855.0340022602 1582024.9801186803, 403865.0188437408 1582034.9647458394, 403874.96551428054 1582034.9655142801, 403874.96464166656 1582005.016723246, 403866.39501112775 1581983.592134745, 403864.964745839 1581975.018843741, 403861.63317104714 1581971.6872657381, 403854.9664510916 1581955.0201084418, 403835.0313937085 1581945.03463762, 403825.0353583337 1581965.0167232465, 403845.0335489097 1582014.979891558, 403855.0333226981 1582024.979439132, 403855.0335489089 1582024.9798915577))",1900.0,1
28,"https://www.google.com/maps?q=14.275884633333591,80.08276564017565","(14.275884633333591, 80.08276564017565)","POLYGON ((401025.03448571893 1578415.0344857196, 401025.03448571987 1578454.9655142806, 401064.98115625925 1578454.9647458394, 401070.6926047346 1578449.2532922484, 401104.96551428083 1578444.9655142806, 401104.96551428054 1578415.0344857194, 401025.03448571893 1578415.0344857196))",3200.0,1
29,"https://www.google.com/maps?q=14.290217274380144,80.13483125274223","(14.290217274380144, 80.13483125274223)","POLYGON ((406724.9798915583 1580014.966451091, 406734.9647458398 1580004.9811562586, 406734.96474583994 1580004.9688375148, 406734.9653623806 1580004.9686062909, 406734.9653623346 1580004.965571272, 406734.96551428264 1580004.9655142806, 406734.96551428013 1579965.0344857194, 406734.9647460806 1579965.0344857362, 406734.9647458409 1579965.0188437414, 406715.0167232467 1579955.0353583337, 406635.03448571905 1579985.0344857196, 406635.03448571934 1580024.9655142806, 406635.0344857191 1580034.9655142804, 406664.9832767539 1580034.9646416665, 406724.9798915583 1580014.966451091))",500.0,1
30,"https://www.google.com/maps?q=14.292040715701887,80.1362048399533","(14.292040715701887, 80.1362048399533)","POLYGON ((406844.9655142802 1580214.9655142806, 406844.9655142799 1580214.9655083027, 406854.9655142805 1580214.9655142806, 406854.9647458389 1580195.0188437412, 406844.98115625913 1580185.0352541604, 406844.96551428107 1580185.0352537497, 406844.9655142813 1580185.0344857194, 406844.964746241 1580185.0344857194, 406844.9647458401 1580185.0188437414, 406834.98115625815 1580175.0352541604, 406815.0352541618 1580185.0188437414, 406815.03525375936 1580185.0344857194, 406815.03448572033 1580185.0344857194, 406815.03448571905 1580214.9655142806, 406844.9655142802 1580214.9655142806))",1500.0,1
