Pond,Link,centriod,polygon
22,"https://www.google.com/maps?q=15.966639637013145,80.56161627774522","(15.966639637013145, 80.56161627774522)","POLYGON ((80.56132109582423 15.966705982872037, 80.56132202641112 15.966707790977456, 80.56159457286607 15.966746055596348, 80.5616846230714 15.966796647939535, 80.56192893198553 15.966797152060359, 80.56192893199899 15.966797145761506, 80.5619455013301 15.96679717955816, 80.56201643877571 15.966728841951674, 80.5619400923073 15.966580503942248, 80.5618503647161 15.96657856446, 80.56184900036236 15.966577239003708, 80.56157946215536 15.966489705530533, 80.56139735634012 15.966489330785095, 80.56133240891769 15.966489195720174, 80.56133240892608 15.96648919709616, 80.56123896192274 15.966489004708773, 80.56123983323982 15.966631988461456, 80.56131550926263 15.966705816295804, 80.56132109582423 15.966705982872037))"
23,"https://www.google.com/maps?q=15.966978267744128,80.56055407712257","(15.966978267744128, 80.56055407712257)","POLYGON ((80.5602095584336 15.967064853647692, 80.5602095493769 15.96706900300722, 80.56073189637966 15.967154388411652, 80.56082354440355 15.967066100447264, 80.56082354440355 15.967066100447264, 80.56090057890452 15.966991890143152, 80.5609008939346 15.966849923441325, 80.56021003062958 15.966848513329033, 80.56021003062892 15.966848513626978, 80.56021003062881 15.96684851367668, 80.56020955843424 15.967064853353236, 80.5602095584336 15.967064853647692))"
24,"https://www.google.com/maps?q=15.96725945454193,80.56118664494117","(15.96725945454193, 80.56118664494117)","POLYGON ((80.56119615183869 15.96760927328991, 80.5612747942705 15.967533513950684, 80.56136364066901 15.966941268844504, 80.5611364737339 15.966940805907502, 80.56113647329195 15.966940807180498, 80.56113356442145 15.966940801265316, 80.56105051770051 15.967100559088008, 80.56104940243563 15.967608979604803, 80.56119615183869 15.96760927328991))"
25,"https://www.google.com/maps?q=15.967669378780192,80.55891866535596","(15.967669378780192, 80.55891866535596)","POLYGON ((80.5591233199194 15.967796002562899, 80.55912401457702 15.967479107493098, 80.55879036994276 15.96747843020336, 80.55871738954119 15.967548733432931, 80.55871339672876 15.967552579773082, 80.55871422028918 15.967802084295291, 80.55878955572156 15.967875581227386, 80.55895131423054 15.967876199343202, 80.5591233199194 15.967796002562899))"
26,"https://www.google.com/maps?q=15.94705038309117,80.57188298972012","(15.94705038309117, 80.57188298972012)","POLYGON ((80.57198463050493 15.94680886387524, 80.57197025108194 15.94681347605207, 80.57197025118258 15.946813429049788, 80.57174649314771 15.946885242192074, 80.57174582465971 15.947199597981184, 80.5717458249226 15.947199597981692, 80.57174563274813 15.947290000005948, 80.57189236789395 15.94729028603967, 80.57197286604328 15.947212722690692, 80.57206144364824 15.946952211709679, 80.57198463050493 15.94680886387524))"
27,"https://www.google.com/maps?q=14.308133644148423,80.10849630451654","(14.308133644148423, 80.10849630451654)","POLYGON ((80.10852265868473 14.308453008089046, 80.10852266287985 14.308453010158146, 80.1086148805998 14.308543624950051, 80.10870710039543 14.30854397766403, 80.10870815989384 14.308273220652131, 80.10862947107037 14.308079230238901, 80.10861651613493 14.308001672268533, 80.10858574653314 14.307971436772517, 80.10852453092514 14.307820522823478, 80.10834006119651 14.30772955440564, 80.10824667139251 14.307909858123834, 80.10843030104589 14.308362253757208, 80.10852265660357 14.308453003990952, 80.10852265868473 14.308453008089046))"
28,"https://www.google.com/maps?q=14.275884633333591,80.08276564017565","(14.275884633333591, 80.08276564017565)","POLYGON ((80.08241697441531 14.275717056512965, 80.08241551247387 14.276078057911901, 80.08278581931839 14.276079477018186, 80.08283897362979 14.27602804575623, 80.08315684133662 14.27599050453429, 80.08315793627298 14.275719909313962, 80.08241697441531 14.275717056512965))"
29,"https://www.google.com/maps?q=14.290217274380144,80.13483125274223","(14.290217274380144, 80.13483125274223)","POLYGON ((80.13520072371561 14.290379298722149, 80.13529363566137 14.290289360559779, 80.13529363608684 14.290289249189176, 80.13529364181062 14.290289247119505, 80.13529364191501 14.290289219680677, 80.13529364332565 14.290289219170548, 80.13529502245491 14.289928212988514, 80.13529501533314 14.28992821296279, 80.13529501587115 14.28992807154752, 80.13511042802318 14.28983714148925, 80.13436789751766 14.290105660282741, 80.13436651689194 14.290466666370664, 80.1343661711333 14.290557073779143, 80.1346438190276 14.29055807554558, 80.13520072371561 14.290379298722149))"
30,"https://www.google.com/maps?q=14.292040715701887,80.1362048399533","(14.292040715701887, 80.1362048399533)","POLYGON ((80.13630618036177 14.292191478379348, 80.13630618036198 14.292191478325304, 80.13639888861307 14.292191814824672, 80.13639956962261 14.292011482046608, 80.13630735803706 14.291920887076301, 80.1363072130232 14.291920886546304, 80.1363072130497 14.291920879602738, 80.13630720592934 14.291920879576896, 80.1363072064653 14.291920738161757, 80.13621499495365 14.291830143159137, 80.136029735728 14.291919731002125, 80.13602973518442 14.291919872417225, 80.13602972806407 14.291919872391373, 80.13602869504447 14.292190471148134, 80.13630618036177 14.292191478379348))"
31,"https://www.google.com/maps?q=14.294997737955716,80.13395926521878","(14.294997737955716, 80.13395926521878)","POLYGON ((80.13360686422106 14.295165633342384, 80.1336065127624 14.295255558533517, 80.13369922221148 14.295255893781333, 80.13369922220258 14.295255896101214, 80.13388408136902 14.295256565272812, 80.13388408364989 14.295256562154067, 80.13388414670233 14.295256562381244, 80.1342558757066 14.294986724258747, 80.13425691257204 14.294716097743672, 80.13407198849569 14.294715431778219, 80.1337002597541 14.294985269632235, 80.13369991355673 14.295075569560018, 80.13360686422106 14.295165633342384))"
32,"https://www.google.com/maps?q=14.292058198125975,80.13686326564567","(14.292058198125975, 80.13686326564567)","POLYGON ((80.13714124171148 14.292014313714589, 80.1371415864008 14.291923906251187, 80.13658597689978 14.29192189113034, 80.13658494454508 14.29219248992689, 80.13714055471021 14.292194505087464, 80.13714124171388 14.292014313715065, 80.13714124171148 14.292014313714589))"
33,"https://www.google.com/maps?q=14.296462047778796,80.1362463702418","(14.296462047778796, 80.1362463702418)","POLYGON ((80.13591976624261 14.296439765323996, 80.13601140651899 14.296710840582387, 80.13601143518505 14.296710840685469, 80.1360114351798 14.296710842059785, 80.13601144222484 14.296710840710784, 80.13619638064465 14.296711505739273, 80.1362759760742 14.296660187120876, 80.13647483636176 14.296622108865567, 80.13656838456795 14.296448608006319, 80.13647609786106 14.296261110660657, 80.13647606919506 14.296261110557188, 80.1364760692003 14.296261109183318, 80.13647606207608 14.29626110915766, 80.13647606261583 14.296260967742382, 80.13629146922325 14.296170038330578, 80.13610538939801 14.296305067518968, 80.13601281532482 14.296349808054618, 80.1360127293188 14.296372306486308, 80.13591976624261 14.296439765323996))"
34,"https://www.google.com/maps?q=14.308407234552666,80.13797329154194","(14.308407234552666, 80.13797329154194)","POLYGON ((80.1376360951731 14.308289525382035, 80.13763609463876 14.308289664481263, 80.13763608750901 14.308289666771174, 80.13763505517888 14.308560265271185, 80.13819050606978 14.308652681175527, 80.138283413048 14.308562757710815, 80.13828341358709 14.308562616295799, 80.13828342071169 14.308562616321634, 80.13828479690486 14.30820161040764, 80.13796239775273 14.308200448434427, 80.13772900220131 14.308199602135307, 80.1376360951731 14.308289525382035))"
35,"https://www.google.com/maps?q=14.316451102496051,80.14158255996723","(14.316451102496051, 80.14158255996723)","POLYGON ((80.14149974614597 14.316259618993337, 80.14131308255683 14.316619948473724, 80.14168346169336 14.316621279739518, 80.14177637082497 14.316531355074192, 80.14177740645663 14.316260615070586, 80.14149974614597 14.316259618993337))"
36,"https://www.google.com/maps?q=14.316303110345581,80.14273145115777","(14.316303110345581, 80.14273145115777)","POLYGON ((80.14298239349412 14.316355212293297, 80.1427987081576 14.315902668406707, 80.142613882729 14.315902000212889, 80.14252014388641 14.316172727318179, 80.14251842180731 14.31662430135525, 80.1426173052623 14.316624656330172, 80.14261764762708 14.316624971201076, 80.14288880106831 14.316625630742719, 80.14298170974959 14.316535705579398, 80.14298239349412 14.316355212293297))"
37,"https://www.google.com/maps?q=14.392594949409155,80.09986294143916","(14.392594949409155, 80.09986294143916)","POLYGON ((80.09956546556664 14.392227331415496, 80.0995617858361 14.392686513622854, 80.09946981947121 14.392949883731175, 80.09956205427319 14.39304049378161, 80.09974722200121 14.393041197904068, 80.09997941654319 14.392951675649538, 80.10002583058825 14.392951851323014, 80.10009569333471 14.392906845193298, 80.10021152393082 14.392862186691106, 80.10020761085379 14.39283474696553, 80.10030462854738 14.392772247250315, 80.10012133388986 14.39222956469471, 80.0999363389385 14.392138485500618, 80.09993034021765 14.392138462637124, 80.09992966478562 14.392138140432028, 80.09965842352199 14.392137426567077, 80.09956546556664 14.392227331415496))"
38,"https://www.google.com/maps?q=14.394585001256766,80.10089660297723","(14.394585001256766, 80.10089660297723)","POLYGON ((80.10057700443024 14.394401437076324, 80.1005755589602 14.39476209436254, 80.10057704314828 14.394762100008723, 80.10057704327842 14.394763312825834, 80.10066780149519 14.394852845476716, 80.10103179314478 14.394854548491935, 80.10122416454645 14.394764588869233, 80.10122524128971 14.394493806429859, 80.1011332514803 14.394312804317211, 80.10113322278345 14.39431280887216, 80.1011332228076 14.39431280283491, 80.10076270029677 14.394311401796498, 80.10057700591425 14.394401066793664, 80.10057700580313 14.394401094518123, 80.10057700439346 14.39440109474187, 80.10057700443024 14.394401437076324))"
39,"https://www.google.com/maps?q=14.402836305295201,80.09887437147164","(14.402836305295201, 80.09887437147164)","POLYGON ((80.09905770363848 14.403073761677508, 80.09915066654104 14.402983857383136, 80.09915138983331 14.402803367542056, 80.09896712523039 14.402531611333423, 80.09859624764088 14.402620569083338, 80.09859624752968 14.402620597036899, 80.09859624611973 14.402620597031492, 80.09859553008606 14.402800945462515, 80.09868751639733 14.402981985259384, 80.09868754031099 14.402982079946288, 80.09868758861876 14.402982127399442, 80.09877954787493 14.403163113639977, 80.09905755700555 14.403073796019658, 80.09905755714507 14.403073761118979, 80.09905770363848 14.403073761677508))"
40,"https://www.google.com/maps?q=14.410108486458782,80.09913428035041","(14.410108486458782, 80.09913428035041)","POLYGON ((80.09856720651612 14.409852907773397, 80.09856720650386 14.409852907785261, 80.09856611171448 14.410123642507818, 80.09856628792373 14.410123636593163, 80.09856544665911 14.410305067156132, 80.09856538280438 14.41030507729054, 80.0985654131016 14.410312304261097, 80.0985650295586 14.410395019926884, 80.09856576904463 14.41039720961254, 80.09856614329962 14.410486483469054, 80.09861079232353 14.410530527575904, 80.09865668853391 14.4106664302105, 80.09921309324582 14.410578138935113, 80.09938916390625 14.410426943237352, 80.09967759888058 14.410399095966929, 80.09967759896259 14.41039909596724, 80.0996775989766 14.41039909595766, 80.09977056483605 14.410309191659367, 80.09977056484598 14.410309191645792, 80.0997705648363 14.410309191597618, 80.09977165073057 14.410038296290127, 80.09958798911366 14.40958572297345, 80.09950243369715 14.409595822387613, 80.09949534986883 14.409585375380944, 80.0994424694916 14.40960290086064, 80.09884602741333 14.4096733069902, 80.09870795791721 14.409762243695166, 80.09866017255584 14.409763003919135, 80.09856720651612 14.409852907773397))"
41,"https://www.google.com/maps?q=14.391955947371297,80.10292283814107","(14.391955947371297, 80.10292283814107)","POLYGON ((80.10253594210941 14.39160583717589, 80.1024998557586 14.391761158431756, 80.10234936542575 14.391876286902953, 80.10234864438574 14.392056757895423, 80.10241191979082 14.392139647432911, 80.10234719299963 14.392418239857694, 80.10269477681841 14.392453468693528, 80.10281041034978 14.392510397205884, 80.10300199756271 14.392511126748632, 80.10300258185579 14.392511445935558, 80.10317870185136 14.392511799481264, 80.10327370739446 14.392512161123213, 80.10327371573634 14.39251214502584, 80.10327382383001 14.392512155981159, 80.10336678049113 14.39242224962068, 80.10336627538373 14.392333531858384, 80.10336714026016 14.39233186289711, 80.1033702110245 14.391947948268113, 80.10346205339091 14.391789779267635, 80.10346314043822 14.39151903012845, 80.10346314187893 14.391519024612016, 80.103463140462 14.391519024211298, 80.10346314057249 14.391518996688047, 80.10346314058162 14.39151899665308, 80.10346314052661 14.391518996637528, 80.1030002870588 14.391336462777053, 80.1028151206701 14.39133575940345, 80.10281512063555 14.391335759393685, 80.10281512062919 14.391335759403297, 80.10281512062156 14.391335759403269, 80.10253594210941 14.39160583717589))"
42,"https://www.google.com/maps?q=14.392784702895396,80.10128450455214","(14.392784702895396, 80.10128450455214)","POLYGON ((80.10123364732583 14.392414637408645, 80.10104856504576 14.392413936990787, 80.10103527494122 14.392426790739743, 80.10095593288973 14.392413579242849, 80.10086249810891 14.392593876400593, 80.10095414596384 14.39286511345693, 80.10120992814015 14.393025594626769, 80.10121054052865 14.393026196035445, 80.10132367500567 14.393228015606624, 80.10160131075237 14.39322907202469, 80.1016016712667 14.393138666194005, 80.10160167228565 14.393138666197888, 80.10160383893916 14.392596854764417, 80.10160383181717 14.392596853829518, 80.10160383237745 14.39259671332474, 80.1015115968744 14.39250610403023, 80.10128102246487 14.392467710762984, 80.10123364732583 14.392414637408645))"
